## Fri Nov 25 12:34:55 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4 --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM__468x_n4/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
FRAGMENTO_5_2	1171373.PACID_00120	2.85e-97	290.0	COG3266@1|root,COG3266@2|Bacteria,2GKZP@201174|Actinobacteria,4DR9G@85009|Propionibacteriales	201174|Actinobacteria	S	Transmembrane domain of unknown function (DUF3566)	-	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0030312,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF3566
FRAGMENTO_5_3	1171373.PACID_00130	2.09e-158	450.0	COG0673@1|root,COG0673@2|Bacteria,2GKW0@201174|Actinobacteria,4DTF6@85009|Propionibacteriales	201174|Actinobacteria	S	Homoserine dehydrogenase, NAD binding domain	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
FRAGMENTO_6_1	1177594.MIC448_130001	2.6e-13	67.0	COG0673@1|root,COG0673@2|Bacteria,2GKW0@201174|Actinobacteria,4FKRR@85023|Microbacteriaceae	201174|Actinobacteria	S	Oxidoreductase family, NAD-binding Rossmann fold	-	-	-	-	-	-	-	-	-	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
FRAGMENTO_6_3	1171373.PACID_00140	2.03e-211	587.0	COG1609@1|root,COG1609@2|Bacteria,2GNVD@201174|Actinobacteria,4DQZJ@85009|Propionibacteriales	201174|Actinobacteria	K	helix_turn _helix lactose operon repressor	rbsR	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
FRAGMENTO_6_4	1171373.PACID_00150	0.0	904.0	COG1129@1|root,COG1129@2|Bacteria,2GJ3F@201174|Actinobacteria,4DNG0@85009|Propionibacteriales	201174|Actinobacteria	G	Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system	rbsA	-	3.6.3.17	ko:K02056,ko:K10441,ko:K10562	ko02010,map02010	M00212,M00220,M00221	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.2,3.A.1.2.1,3.A.1.2.13,3.A.1.2.19,3.A.1.2.9	-	-	ABC_tran
FRAGMENTO_6_5	1171373.PACID_00160	1.69e-63	202.0	COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4DR3X@85009|Propionibacteriales	201174|Actinobacteria	G	Belongs to the binding-protein-dependent transport system permease family	rbsC	-	-	ko:K10439,ko:K10440	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	BPD_transp_2,Peripla_BP_4
FRAGMENTO_7_1	1171373.PACID_00160	1.26e-130	377.0	COG1172@1|root,COG1172@2|Bacteria,2GJDW@201174|Actinobacteria,4DR3X@85009|Propionibacteriales	201174|Actinobacteria	G	Belongs to the binding-protein-dependent transport system permease family	rbsC	-	-	ko:K10439,ko:K10440	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	BPD_transp_2,Peripla_BP_4
FRAGMENTO_7_2	1171373.PACID_00170	1.09e-202	563.0	COG1879@1|root,COG1879@2|Bacteria,2I2HU@201174|Actinobacteria,4DRVR@85009|Propionibacteriales	201174|Actinobacteria	G	Periplasmic binding protein domain	rbsB	-	-	ko:K10439	ko02010,ko02030,map02010,map02030	M00212	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.2.1,3.A.1.2.13,3.A.1.2.19	-	-	Peripla_BP_4
FRAGMENTO_7_3	1171373.PACID_00180	9.78e-169	477.0	COG0524@1|root,COG0524@2|Bacteria,2I04R@201174|Actinobacteria,4DV5F@85009|Propionibacteriales	201174|Actinobacteria	G	Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway	rbsK	-	2.7.1.15	ko:K00852	ko00030,map00030	-	R01051,R02750	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	PfkB
FRAGMENTO_7_4	1171373.PACID_00190	1.1e-78	234.0	COG1869@1|root,COG1869@2|Bacteria,2IHP8@201174|Actinobacteria	201174|Actinobacteria	G	Catalyzes the interconversion of beta-pyran and beta- furan forms of D-ribose	rbsD	-	5.4.99.62	ko:K06726	ko02010,map02010	-	R08247	RC02247	ko00000,ko00001,ko01000	-	-	-	RbsD_FucU
FRAGMENTO_7_5	1171373.PACID_00200	8e-111	323.0	COG0842@1|root,COG0842@2|Bacteria,2GIVW@201174|Actinobacteria,4DP1X@85009|Propionibacteriales	201174|Actinobacteria	V	ABC-2 family transporter protein	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane
FRAGMENTO_8_1	1171373.PACID_00200	4.13e-31	115.0	COG0842@1|root,COG0842@2|Bacteria,2GIVW@201174|Actinobacteria,4DP1X@85009|Propionibacteriales	201174|Actinobacteria	V	ABC-2 family transporter protein	-	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane
FRAGMENTO_8_2	1171373.PACID_00210	1.7e-144	412.0	COG1131@1|root,COG1131@2|Bacteria,2GIY8@201174|Actinobacteria,4DQ19@85009|Propionibacteriales	201174|Actinobacteria	V	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
FRAGMENTO_8_3	1171373.PACID_00220	3.24e-66	204.0	COG4817@1|root,COG4817@2|Bacteria,2IM9H@201174|Actinobacteria,4DSCW@85009|Propionibacteriales	201174|Actinobacteria	S	Protein of unknown function (DUF1048)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1048
FRAGMENTO_8_4	1171373.PACID_00230	2.6e-73	219.0	COG1695@1|root,COG1695@2|Bacteria,2IM8U@201174|Actinobacteria,4DR4Z@85009|Propionibacteriales	201174|Actinobacteria	K	Transcriptional regulator PadR-like family	-	-	-	ko:K10947	-	-	-	-	ko00000,ko03000	-	-	-	PadR
FRAGMENTO_8_5	1171373.PACID_00240	4.21e-179	503.0	COG1028@1|root,COG1028@2|Bacteria,2GWHQ@201174|Actinobacteria,4DQKH@85009|Propionibacteriales	201174|Actinobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	1.1.1.100	ko:K00059	ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212	M00083,M00572	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671	RC00029,RC00117	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	adh_short_C2
FRAGMENTO_8_6	558173.CDOO_04990	1.26e-15	72.0	COG4683@1|root,COG4683@2|Bacteria,2IQAB@201174|Actinobacteria	201174|Actinobacteria	S	Phage derived protein Gp49-like (DUF891)	-	-	-	-	-	-	-	-	-	-	-	-	Gp49
FRAGMENTO_9_2	1171373.PACID_00270	1.67e-59	184.0	COG3620@1|root,COG3620@2|Bacteria	2|Bacteria	K	sequence-specific DNA binding	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31,HTH_37
FRAGMENTO_9_3	1171373.PACID_00280	2.38e-72	220.0	COG1848@1|root,COG1848@2|Bacteria,2GRA5@201174|Actinobacteria,4DSHI@85009|Propionibacteriales	201174|Actinobacteria	S	PIN domain	-	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040008,GO:0044464,GO:0045926,GO:0048519,GO:0050789,GO:0065007,GO:0071944	-	ko:K07064	-	-	-	-	ko00000	-	-	-	PIN
FRAGMENTO_9_4	1171373.PACID_00290	5.74e-51	161.0	COG4118@1|root,COG4118@2|Bacteria	2|Bacteria	D	positive regulation of growth	-	-	-	-	-	-	-	-	-	-	-	-	PhdYeFM_antitox
FRAGMENTO_9_5	1171373.PACID_00310	2.74e-94	276.0	COG0517@1|root,COG0517@2|Bacteria,2IIM3@201174|Actinobacteria,4DRV3@85009|Propionibacteriales	201174|Actinobacteria	S	Domain in cystathionine beta-synthase and other proteins.	-	-	-	-	-	-	-	-	-	-	-	-	CBS
FRAGMENTO_9_6	1171373.PACID_00320	9.68e-277	761.0	COG1055@1|root,COG1055@2|Bacteria,2GMQJ@201174|Actinobacteria,4DN5A@85009|Propionibacteriales	201174|Actinobacteria	P	Bacterial Na+/H+ antiporter B (NhaB)	-	-	-	ko:K03893	-	-	-	-	ko00000,ko02000	2.A.45.1,3.A.4.1	-	-	ArsB,CitMHS
FRAGMENTO_10_1	1171373.PACID_00330	2.54e-205	577.0	COG0477@1|root,COG2814@2|Bacteria,2H0CW@201174|Actinobacteria,4DN0M@85009|Propionibacteriales	201174|Actinobacteria	EGP	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
FRAGMENTO_10_2	1171373.PACID_00340	8.47e-148	421.0	COG2365@1|root,COG2365@2|Bacteria,2GK28@201174|Actinobacteria,4DS4X@85009|Propionibacteriales	201174|Actinobacteria	T	Tyrosine phosphatase family	-	-	3.1.3.48	ko:K01104	-	-	-	-	ko00000,ko01000	-	-	-	Y_phosphatase3
FRAGMENTO_10_3	1171373.PACID_00360	4.59e-192	562.0	COG3250@1|root,COG3250@2|Bacteria,2GMAT@201174|Actinobacteria,4DPD7@85009|Propionibacteriales	201174|Actinobacteria	G	Beta galactosidase small chain	lacZ	-	3.2.1.23	ko:K01190	ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100	-	R01105,R01678,R03355,R04783,R06114	RC00049,RC00452	ko00000,ko00001,ko01000	-	-	-	Bgal_small_N,DUF4981,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N
FRAGMENTO_11_1	1171373.PACID_00360	0.0	1274.0	COG3250@1|root,COG3250@2|Bacteria,2GMAT@201174|Actinobacteria,4DPD7@85009|Propionibacteriales	201174|Actinobacteria	G	Beta galactosidase small chain	lacZ	-	3.2.1.23	ko:K01190	ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100	-	R01105,R01678,R03355,R04783,R06114	RC00049,RC00452	ko00000,ko00001,ko01000	-	-	-	Bgal_small_N,DUF4981,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N
FRAGMENTO_11_2	926564.KI911694_gene988	6.38e-37	128.0	2ES0Y@1|root,33JK0@2|Bacteria	2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FRAGMENTO_11_3	1171373.PACID_00380	3.52e-138	407.0	COG0281@1|root,COG0281@2|Bacteria,2GJAJ@201174|Actinobacteria,4DTGZ@85009|Propionibacteriales	201174|Actinobacteria	C	Malic enzyme, NAD binding domain	-	-	1.1.1.38,4.1.1.101	ko:K00027,ko:K22212	ko00620,ko01120,ko01200,ko02020,map00620,map01120,map01200,map02020	-	R00214,R11074	RC00105,RC00282	ko00000,ko00001,ko01000	-	-	-	Malic_M,malic
FRAGMENTO_12_1	1171373.PACID_00380	8.24e-206	582.0	COG0281@1|root,COG0281@2|Bacteria,2GJAJ@201174|Actinobacteria,4DTGZ@85009|Propionibacteriales	201174|Actinobacteria	C	Malic enzyme, NAD binding domain	-	-	1.1.1.38,4.1.1.101	ko:K00027,ko:K22212	ko00620,ko01120,ko01200,ko02020,map00620,map01120,map01200,map02020	-	R00214,R11074	RC00105,RC00282	ko00000,ko00001,ko01000	-	-	-	Malic_M,malic
FRAGMENTO_12_2	1171373.PACID_00390	2.18e-210	585.0	COG0039@1|root,COG0039@2|Bacteria,2GN5S@201174|Actinobacteria	201174|Actinobacteria	C	Belongs to the LDH MDH superfamily. LDH family	ldh	-	1.1.1.27,1.1.1.37	ko:K00016,ko:K00024	ko00010,ko00020,ko00270,ko00620,ko00630,ko00640,ko00680,ko00710,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko04922,map00010,map00020,map00270,map00620,map00630,map00640,map00680,map00710,map00720,map01100,map01110,map01120,map01130,map01200,map04922	M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00620,M00740	R00342,R00703,R01000,R03104,R07136	RC00031,RC00044	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Ldh_1_C,Ldh_1_N
FRAGMENTO_12_3	1171373.PACID_00400	2.14e-277	788.0	COG1038@1|root,COG1038@2|Bacteria,2H238@201174|Actinobacteria,4DP0F@85009|Propionibacteriales	201174|Actinobacteria	C	Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second	pyc	-	6.4.1.1	ko:K01958	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173	R00344	RC00040,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,HMGL-like,PYC_OADA
FRAGMENTO_13_1	1171373.PACID_00400	0.0	1335.0	COG1038@1|root,COG1038@2|Bacteria,2H238@201174|Actinobacteria,4DP0F@85009|Propionibacteriales	201174|Actinobacteria	C	Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second	pyc	-	6.4.1.1	ko:K01958	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173	R00344	RC00040,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,HMGL-like,PYC_OADA
FRAGMENTO_13_2	1171373.PACID_00410	7.73e-250	689.0	COG0620@1|root,COG0620@2|Bacteria,2H8H4@201174|Actinobacteria	201174|Actinobacteria	E	Methionine synthase	metE2	-	2.1.1.14	ko:K00549	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	M00017	R04405,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	-	-	-	Meth_synt_2
FRAGMENTO_14_1	1171373.PACID_00420	2.19e-84	253.0	COG0454@1|root,COG0456@2|Bacteria,2II3I@201174|Actinobacteria	201174|Actinobacteria	K	Histone acetyltransferase HPA2 and related acetyltransferases	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10,Acetyltransf_7
FRAGMENTO_14_3	1146883.BLASA_0490	1.42e-179	526.0	COG2865@1|root,COG2865@2|Bacteria,2I3IG@201174|Actinobacteria,4EXAT@85013|Frankiales	201174|Actinobacteria	K	Putative ATP-dependent DNA helicase recG C-terminal	-	-	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	AlbA_2,HATPase_c_4
FRAGMENTO_14_4	1170318.PALO_08890	6.62e-72	224.0	COG4106@1|root,COG4106@2|Bacteria,2GK0K@201174|Actinobacteria	201174|Actinobacteria	S	Methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
FRAGMENTO_15_1	1170318.PALO_08890	2.94e-25	101.0	COG4106@1|root,COG4106@2|Bacteria,2GK0K@201174|Actinobacteria	201174|Actinobacteria	S	Methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_25
